27898 LA3D       246    4890880 16 2/3% RS6          5          1
27899 LA3D       276    5000000 16 2/3% RS6          5          1
27900 LA3D       282    3191800 16 2/3% RS6          5          1
27901 LA3D       287    5000000 16 2/3% RS6          5          1
27902 LA4         19    1897360 16 2/3% RS6          5          1
27903 LA4         21    4789310 16 2/3% RS6          5          1
27904 LA4         26    5000000 16 2/3% RS6          5          1
27905 LA4         31    5000000 16 2/3% RS6          5          1
27906 LA4         33    4890830 16 2/3% RS6          5          3
27907 LA4         40    5000000 16 2/3% RS6          5          1
27908 LA4         43    5000000 16 2/3% RS6          5          2
27909 LA4         84    5000000 16 2/3% RS6          5          1
27910 LA4       113A    5000000 16 2/3% RS6          5          3
27911 LA4       129A    3824720 16 2/3% RS6          5          2
27912 LA4        176    5000000 16 2/3% RS6          5          2
27913 LA4        236    5000000 16 2/3% RS6          5          2
27914 LA4        255    2500000 16 2/3% RS6          5          1
27915 LA4A       301    2500000 16 2/3% RS6          5          1
27916 LA4A       307    2500000 16 2/3% RS6          5          1
27917 LA4A       310    5000000 16 2/3% RS6          5          1
27918 LA4A       311    5000020 16 2/3% RS6          5          1
27919 LA4A       347    5000000 16 2/3% RS6          5          1
27920 LA5         14    3237470 16 2/3% RS6          5          1
27921 LA5         25    3173270 16 2/3% RS6          5          1
27922 LA5         86    5000000 16 2/3% RS6          5          2
27923 LA5        104    5000000 16 2/3% RS6          5          7
27924 LA5        127    5000000 16 2/3% RS6          5         10
27925 LA5        221    5000000 16 2/3% RS6          5          1
27926 LA5        228    5000000 16 2/3% RS6          5          3
27927 LA5A       263    5000000 16 2/3% RS6          5          1
27928 LA5A       292    5000000 16 2/3% RS6          5          1
27929 LA5A       326    5000000 16 2/3% RS6          5          1
27930 LA5A       327    5000000 16 2/3% RS6          5          1
27931 LA5A       335    5000000 16 2/3% RS6          5          1
27932 LA5A       336    5000000 16 2/3% RS6          5          1
27933 LA5A       337    5000000 16 2/3% RS6          5          1
27934 LA6         64    5000000 16 2/3% RS6          5          1
27935 LA6         73    5000000 16 2/3% RS6          5          1
27936 LA6        208    5000000 16 2/3% RS6          5          2
27937 LA6A       211    5000000 16 2/3% RS6          5          2
27938 LA6A       224    5000000 16 2/3% RS6          5          2
27939 LA6A       225    5000000 16 2/3% RS6          5          1
27940 LA6A       226    5000000 16 2/3% RS6          5          3
27941 LA6A       227    5000000 16 2/3% RS6          5          1
27942 LA6A       233    5000000 16 2/3% RS6          5          2
27943 LA6A       234    5000000 16 2/3% RS6          5          1
27944 LA6A       268    5000000 16 2/3% RS6          5          2
27945 LA6A       293    5000000 16 2/3% RS6          5          9
27946 LA6A       298    5000000 16 2/3% RS6          5          1
27947 LA6A       306    5000000 16 2/3% RS6          5          8
27948 LA7         68    5000000 16 2/3% RS6          5          1
27949 LA7         70    5000000 16 2/3% RS6          5          1
27950 LA7         85    4539890 16 2/3% RS6          5          1
27951 LA7A        95    4539890 16 2/3% RS6          5          1
27952 LA7A       100    4539890 16 2/3% RS6          5          1
27953 LA8         28    1250000 16 2/3% RS6          5          1
27954 LA8         46    5000000 16 2/3% RS6          5          1
27955 LA8         66    5000000 16 2/3% RS6          5          1
27956 LA8         77    5000000 16 2/3% RS6          5          1
27957 LA8A       113    4999970 16 2/3% RS6          5          1
27958 LA8A       124    4999970 16 2/3% RS6          5          1
27959 LA9         18    3858740 16 2/3% RS6          5          1
27960 LA9         19     513680 16 2/3% RS6          5          1
27961 LA9         55    4999970 16 2/3% RS6          5          1
27962 LA10         7    1653500 16 2/3% RS6          5          1
27963 LA10        27    4994550 16 2/3% RS6          5          4
27964 LA10        91    2923380 16 2/3% RS6          5          1
27965 LA10        98    4994550 16 2/3% RS6          5          3
27966 LA10A      180    4994550 16 2/3% RS6          5          3
27967 LA10A      256    4994550 16 2/3% RS6          5          1
27968 LA10A      257    4994550 16 2/3% RS6          5          1
27969 LA10A      282    4994550 16 2/3% RS6          5          1
27970 LA10A      286    4560810 16 2/3% RS6          5          2
27971 LA12         7    5000000 16 2/3% RS6          5          1
27972 LA12         9    4254410 16 2/3% RS6          5          4
27973 NH16-04    830    2909291 16 2/3% RS6          5          1
27974 NH16-07    116    5760000 16 2/3% RS6          5          2
27975 NH16-07    117    5760000 16 2/3% RS6          5          2
27976 NH16-07    119    5760000 16 2/3% RS6          5          1
27977 NH16-07    383    4538040 16 2/3% RS6          5          1
27978 NH16-07    520    5138080 16 2/3% RS6          5          1
27979 NH16-07    778    5671950 16 2/3% RS7          5          1
27980 NH16-07    916    5760000 12 1/2% RS3         10          1
27981 NH15-12    827    5760000 16 2/3% RS7          5          2
27982 NH15-12    834    5760000 12 1/2% RS5          8          1
27983 NH15-12    867    1385530 16 2/3% RS6          5          1
27984 NH15-12    911    5023130 16 2/3% RS7          5          2
27985 NH15-12    961    5760000 12 1/2% RS5          8          2
27986 NH15-12    996    5760000 16 2/3% RS7          5          1
27987 NH15-12    997    5760000 12 1/2% RS5          8          1
27988 NH15-12    998    5760000 12 1/2% RS5          8          2
27989 NH15-12   1005    5760000 12 1/2% RS5          8          1
27990 NH15-12   1009    5760000 12 1/2% RS5          8          1
27991 NH15-12   1010    5760000 12 1/2% RS5          8          6
27992 NH15-12   1011    1500130 12 1/2% RS5          8          1
27993 NH16-10     68    5760000 12 1/2% RS5          8          1
27994 NH16-10    118    5760000 12 1/2% RS3         10          1
27995 NH16-10    128    5760000 12 1/2% RS8         10          1
27996 NH16-10    152    5760000 12 1/2% RS5          8          1
27997 NH16-10    160    5760000 12 1/2% RS3         10          1
27998 NH16-10    203    5760000 12 1/2% RS3         10          1
27999 NH16-10    239    5760000 12 1/2% RS5          8          1
28000 NH16-10    297    5760000 12 1/2% RS8         10          1
28001 NH16-10    298    5760000 12 1/2% RS8         10          1
28002 NH16-10    347    5760000 12 1/2% RS9         10          7
28003 NH16-10    366    5760000 16 2/3% RS7          5          1
28004 NH16-10    434    5760000 12 1/2% RS9         10          2
28005 NH16-10    435    5760000 12 1/2% RS9         10          1
28006 NH16-10    443    5760000 12 1/2% RS5          8          1
28007 NH16-10    461    5760000 12 1/2% RS3         10          5
28008 NH16-10    462    5760000 12 1/2% RS3         10          4
28009 NH16-10    478    5760000 12 1/2% RS9         10          1
28010 NH16-10    556    5760000 12 1/2% RS3         10          2
28011 NH16-10    585    5760000 12 1/2% RS5          8          1
28012 NH16-10    604    5760000 12 1/2% RS8         10          1
28013 NH16-10    609    5760000 12 1/2% RS9         10          1
28014 NH16-10    610    5760000 12 1/2% RS9         10          1
28015 NH16-10    630    5760000 12 1/2% RS5          8          1
28016 NH16-10    636    5760000 12 1/2% RS3         10          1
28017 NH16-10    637    5760000 12 1/2% RS3         10          2
28018 NH16-10    653    5760000 12 1/2% RS9         10          2
28019 NH16-10    654    5760000 12 1/2% RS9         10          2
28020 NH16-10    669    5760000 12 1/2% RS3         10          1
28021 NH16-10    697    5760000 12 1/2% RS9         10          6
28022 NH16-10    698    5760000 12 1/2% RS9         10          4
28023 NH16-10    716    5760000 12 1/2% RS3         10          1
28024 NH16-10    759    5760000 12 1/2% RS3         10          1
28025 NH16-10    761    5760000 12 1/2% RS3         10          2
28026 NH16-10    770    5760000 12 1/2% RS3         10          1
28027 NH16-10    930    5760000 12 1/2% RS5          8          1
28028 NH16-10    944    5760000 12 1/2% RS3         10          4
28029 NH16-10    945    5760000 12 1/2% RS3         10          6
28030 NH16-10    948    5760000 12 1/2% RS8         10          6
28031 NH16-10    957    5760000 12 1/2% RS9         10          1
28032 NH16-10    987    5760000 12 1/2% RS3         10          3
28033 NH16-10    988    5760000 12 1/2% RS3         10          5
28034 NH16-10    989    5760000 12 1/2% RS3         10          1
28035 NH16-10   1001    5760000 12 1/2% RS9         10          1
28036 NG15-03      6    5760000 16 2/3% RS7          5          1
28037 NG15-03      7    5760000 16 2/3% RS7          5          1
28038 NG15-03     17    5760000 16 2/3% RS7          5          1
28039 NG15-03     24    5760000 16 2/3% RS7          5          1
28040 NG15-03     25    5760000 12 1/2% RS5          8          2
28041 NG15-03     26    5760000 12 1/2% RS5          8          1
28042 NG15-03     27    5760000 12 1/2% RS5          8          1
28043 NG15-03     37    5760000 12 1/2% RS5          8          3
28044 NG15-03     61    5760000 12 1/2% RS5          8          1
28045 NG15-03     62    5760000 12 1/2% RS5          8          1
28046 NG15-03     63    5760000 12 1/2% RS5          8          1
28047 NG15-03     73    5760000 12 1/2% RS5          8          3
28048 NG15-03     74    5760000 12 1/2% RS5          8          2
28049 NG15-03    121    5760000 12 1/2% RS3         10          1
28050 NG15-03    133    5760000 16 2/3% RS7          5          1
28051 NG15-03    136    5760000 16 2/3% RS7          5          1
28052 NG15-03    156    5760000 12 1/2% RS5          8          1
28053 NG15-03    165    5760000 12 1/2% RS3         10          1
28054 NG15-03    167    5760000 12 1/2% RS5          8          2
28055 NG15-03    168    5760000 12 1/2% RS3         10          2
28056 NG15-03    177    5760000 12 1/2% RS5          8          4
28057 NG15-03    204    5760000 12 1/2% RS3         10          3
28058 NG15-03    210    5760000 12 1/2% RS3         10          3
28059 NG15-03    215    5760000 12 1/2% RS3         10          1
28060 NG15-03    250    5760000 12 1/2% RS3         10          5
28061 NG15-03    251    5760000 12 1/2% RS3         10          4
28062 NG15-03    257    5760000 12 1/2% RS3         10          5
28063 NG15-03    287    5760000 12 1/2% RS3         10          8
28064 NG15-03    295    5760000 12 1/2% RS3         10          4
28065 NG15-03    301    5760000 12 1/2% RS3         10          5
28066 NG15-03    304    5760000 12 1/2% RS3         10          9
28067 NG15-03    315    5760000 12 1/2% RS3         10          1
28068 NG15-03    334    5760000 12 1/2% RS3         10          1
28069 NG15-03    335    5760000 12 1/2% RS3         10          1
28070 NG15-03    340    5760000 12 1/2% RS3         10          3
28071 NG15-03    355    5760000 12 1/2% RS3         10          3
28072 NG15-03    356    5760000 12 1/2% RS3         10          1
28073 NG15-03    359    5760000 12 1/2% RS3         10          1
28074 NG15-03    400    5760000 12 1/2% RS3         10          2
28075 NG15-03    403    5760000 12 1/2% RS3         10          4
28076 NG15-03    404    5760000 12 1/2% RS3         10          4
28077 NG15-03    448    5760000 12 1/2% RS3         10          7
28078 NG15-03    452    5760000 12 1/2% RS3         10          4
28079 NG15-03    453    5760000 12 1/2% RS3         10          3
28080 NG15-03    459    5760000 12 1/2% RS3         10          1
28081 NG15-03    496    5760000 12 1/2% RS3         10          3
28082 NG15-03    497    5760000 12 1/2% RS8         10          2
28083 NG15-03    500    5760000 12 1/2% RS3         10          1
28084 NG15-03    551    5760000 12 1/2% RS3         10          6
28085 NG15-03    560    5760000 12 1/2% RS3         10          1
28086 NG15-03    565    5760000 12 1/2% RS3         10          2
28087 NG15-03    582    5760000 12 1/2% RS3         10          1
28088 NG15-03    611    5760000 12 1/2% RS3         10          1
28089 NG15-03    612    5760000 12 1/2% RS3         10          1
28090 NG15-03    648    5760000 12 1/2% RS3         10          1
28091 NG15-03    650    5760000 12 1/2% RS3         10          1
28092 NG15-03    651    5760000 12 1/2% RS3         10          1
28093 NG15-03    655    5760000 12 1/2% RS3         10          1
28094 NG15-03    661    5760000 12 1/2% RS3         10          1
28095 NG15-03    662    5760000 12 1/2% RS3         10          1
28096 NG15-03    697    5760000 12 1/2% RS3         10          1
