Sale_Number,Lease_Number,Bid_Amount,Company_Number,Protraction_ID,Block_Number,Acreage,Source_Sale
247,0035975,1095747,59,NH16-10,508,5760.0,Unknown
247,0035975,750322,2058,NH16-10,508,5760.0,Unknown
247,0035976,356125,3296,NH16-10,573,4734.85,Unknown
247,0035977,1640115,78,NH16-10,587,5760.0,Unknown
247,0035978,1640115,78,NH16-10,588,5760.0,Unknown
247,0035979,875555,2058,NH16-10,589,5760.0,Unknown
247,0035979,641115,78,NH16-10,589,5760.0,Unknown
247,0035980,585250,3247,NH16-10,637,5760.0,Unknown
247,0035981,1556719,689,NH16-10,653,5760.0,Unknown
247,0035981,641829,78,NH16-10,653,5760.0,Unknown
247,0035982,750719,689,NH16-10,654,5760.0,Unknown
247,0035982,641829,78,NH16-10,654,5760.0,Unknown
247,0035983,650719,689,NH16-10,655,5760.0,Unknown
247,0035984,757800,2668,NH16-10,795,5760.0,Unknown
247,0035984,757800,3394,NH16-10,795,5760.0,Unknown
247,0035984,757800,1308,NH16-10,795,5760.0,Unknown
247,0035984,757800,2058,NH16-10,795,5760.0,Unknown
247,0035985,750719,689,NH16-10,802,5760.0,Unknown
247,0035985,625555,2058,NH16-10,802,5760.0,Unknown
247,0035986,5056719,689,NH16-10,845,5760.0,Unknown
247,0035986,750888,2058,NH16-10,845,5760.0,Unknown
247,0035987,576915,2481,NH16-10,867,5760.0,Unknown
247,0035988,650522,730,NH16-10,881,5760.0,Unknown
247,0035989,1450522,730,NH16-10,882,5760.0,Unknown
247,0035990,3056719,689,NH16-10,944,5760.0,Unknown
247,0035991,655555,1308,NH16-10,945,5760.0,Unknown
247,0035992,757757,1999,NH16-10,972,5760.0,Unknown
247,0035993,750025,276,NH16-11,662,5760.0,Unknown
247,0035994,605707,59,NG15-02,217,5760.0,Unknown
247,0035995,605707,59,NG15-02,261,5760.0,Unknown
247,0035996,705025,276,NG15-02,611,5760.0,Unknown
247,0035997,610025,276,NG15-02,612,5760.0,Unknown
247,0035998,705025,276,NG15-02,655,5760.0,Unknown
247,0035999,705025,276,NG15-02,656,5760.0,Unknown
247,0036000,705025,276,NG15-02,684,5760.0,Unknown
247,0036001,900719,689,NG15-02,700,5760.0,Unknown
247,0036002,900719,689,NG15-02,701,5760.0,Unknown
247,0036003,705025,276,NG15-02,728,5760.0,Unknown
247,0036004,900719,689,NG15-02,729,5760.0,Unknown
247,0036005,591730,78,NG15-02,772,5760.0,Unknown
247,0036006,900719,689,NG15-02,773,5760.0,Unknown
247,0036006,763367,78,NG15-02,773,5760.0,Unknown
247,0036007,750719,689,NG15-02,780,5760.0,Unknown
247,0036008,750227,1500,NG15-02,821,5760.0,Unknown
247,0036009,704123,2873,NG15-02,827,5760.0,Unknown
247,0036010,704123,2873,NG15-02,828,5760.0,Unknown
247,0036011,704123,2873,NG15-02,873,5760.0,Unknown
247,0036012,900227,1500,NG15-02,912,5760.0,Unknown
247,0036012,641829,78,NG15-02,912,5760.0,Unknown
247,0036013,704123,2873,NG15-02,917,5760.0,Unknown
247,0036014,968976,2748,NG15-02,919,5760.0,Unknown
247,0036015,2250719,689,NG15-02,961,5760.0,Unknown
247,0036016,12600227,1500,NG15-02,1006,5760.0,Unknown
